CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Telephone Number,Provider SSA County Code,County/Parish,Ownership Type,Number of Certified Beds,Average Number of Residents per Day,Average Number of Residents per Day Footnote,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid Services,Chain Name,Chain ID,Number of Facilities in Chain,Chain Average Overall 5-star Rating,Chain Average Health Inspection Rating,Chain Average Staffing Rating,Chain Average QM Rating,Continuing Care Retirement Community,Special Focus Status,Abuse Icon,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Long-Stay QM Rating,Long-Stay QM Rating Footnote,Short-Stay QM Rating,Short-Stay QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported Nurse Aide Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Total number of nurse staff hours per resident per day on the weekend,Registered Nurse hours per resident per day on the weekend,Reported Physical Therapist Staffing Hours per Resident Per Day,Total nursing staff turnover,Total nursing staff turnover footnote,Registered Nurse turnover,Registered Nurse turnover footnote,Number of administrators who have left the nursing home,Administrator turnover footnote,Nursing Case-Mix Index,Nursing Case-Mix Index Ratio,Case-Mix Nurse Aide Staffing Hours per Resident per Day,Case-Mix LPN Staffing Hours per Resident per Day,Case-Mix RN Staffing Hours per Resident per Day,Case-Mix Total Nurse Staffing Hours per Resident per Day,Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day,Adjusted Nurse Aide Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Adjusted Weekend Total Nurse Staffing Hours per Resident per Day,Rating Cycle 1 Standard Survey Health Date,Rating Cycle 1 Total Number of Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Total Health Score,Rating Cycle 2 Standard Health Survey Date,Rating Cycle 2/3 Total Number of Health Deficiencies,Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2/3 Number of Complaint Health Deficiencies,Rating Cycle 2/3 Health Deficiency Score,Rating Cycle 2/3 Number of Health Revisits,Rating Cycle 2/3 Health Revisit Score,Rating Cycle 2/3 Total Health Score,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Citations from Infection Control Inspections,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Latitude,Longitude,Geocoding Footnote,Processing Date
65259,ORCHARD PARK HEALTH CARE CENTER,6005 S HOLLY ST,LITTLETON,CO,80121,3037731000,20,Arapahoe,For profit - Partnership,133,122.7,,Medicare and Medicaid,N,SOUTH DENVER REHABILITATION LLC,1989-06-19,CLEAR CHOICE HEALTHCARE,149,9,3.3,3.2,3.8,3.6,N,,N,N,N,Both,Yes,5,,5,,4,,4,,4,,4,,,,2.10506,1.47294,0.42449,1.89743,4.00249,3.30888,0.24437,0.09254,41.732,,36.842,,0,,1.26248,0.91387,2.1047,0.79338,0.61936,3.51744,3.11079,2.29085,1.60294,0.46195,4.35573,3.60091,2024-05-09,2,2,2,12,1,0,12,2023-01-26,8,6,2,36,1,0,36,18,1,9,,0,0,0,0,"6005 S HOLLY ST,LITTLETON,CO,80121",39.6077,-104.92,,2025-09-01
65264,WALBRIDGE MEMORIAL CONVALESCENT WING,100 PIONEERS MEDICAL CENTER DR,MEEKER,CO,81641,9708785047,510,Rio Blanco,Government - Hospital district,30,29.4,,Medicare and Medicaid,Y,Legal Business Name Not Available,1989-12-01,,,,,,,,N,,N,N,N,Resident,Yes,2,,2,,2,,2,,,2,4,,,,2.51927,0.84688,0.76641,1.61329,4.13256,3.90366,0.56902,0.00182,89.744,,100,,,26,1.07033,0.77477,1.78436,0.67263,0.52509,2.98208,2.63733,3.23381,1.08707,0.98379,5.30467,5.01084,2023-12-14,8,8,0,68,1,0,68,2022-08-25,6,6,0,76,1,0,76,70,0,0,,2,52132.9,0,2,"100 PIONEERS MEDICAL CENTER DR,MEEKER,CO,81641",40.0455,-107.95,22,2025-09-01
65265,BERTHOUD CARE AND REHABILITATION,855 FRANKLIN AVE,BERTHOUD,CO,80513,9705322683,340,Larimer,For profit - Corporation,76,71.4,,Medicare and Medicaid,N,FRANKLIN AVENUE HEALTHCARE INC.,1989-10-01,THE ENSIGN GROUP,507,303,3.2,2.9,2.6,4.1,N,,N,N,N,Both,Yes,5,,5,,4,,3,,4,,3,,,,1.86479,0.3762,0.83236,1.20856,3.07335,2.7591,0.59821,0.08099,34.545,,28.571,,1,,1.30884,0.94742,2.18198,0.82251,0.6421,3.64659,3.22501,1.9575,0.39491,0.87374,3.22614,2.89627,2024-06-11,2,2,0,12,1,0,12,2023-02-16,7,7,0,44,1,0,44,20,0,0,,1,13000,0,1,"855 FRANKLIN AVE,BERTHOUD,CO,80513",40.3092,-105.09,,2025-09-01
65266,GARDEN TERRACE ALZHEIMER'S CENTER OF EXCELLENCE,1600 S POTOMAC ST,AURORA,CO,80012,3037508418,20,Arapahoe,For profit - Corporation,120,98.6,,Medicare and Medicaid,N,"DENVER HEALTHCARE OPERATIONS, LLC",1989-10-12,LIFE CARE CENTERS OF AMERICA,311,195,3.4,2.9,3.2,4.4,N,,N,N,N,Both,Yes,5,,4,,5,,5,,4,,4,,,,2.16668,0.97508,0.68931,1.66439,3.83107,3.39408,0.33422,0.01996,27.907,,23.077,,0,,1.25819,0.91076,2.09755,0.79068,0.61725,3.50548,3.10022,2.36594,1.06476,0.7527,4.1834,3.70622,2025-05-01,7,7,0,36,0,0,36,2023-09-14,2,1,1,12,1,0,12,30,1,0,,0,0,0,0,"1600 S POTOMAC ST,AURORA,CO,80012",39.6883,-104.83,,2025-09-01
65267,WINDING TRAILS POST ACUTE,2800 PALO PKWY,BOULDER,CO,80301,3034409100,60,Boulder,For profit - Limited Liability company,150,85.2,,Medicare and Medicaid,N,PALO COMMUNITY HEALTHCARE LLC,1989-11-15,PACS GROUP,690,207,2.8,2.5,2.3,4.2,N,,N,N,N,Resident,Yes,1,,1,,4,,4,,4,,3,,,,1.92721,0.83475,0.62538,1.46013,3.38734,3.06336,0.36874,0.00899,64.865,,60,,,26,1.19863,0.86765,1.99826,0.75325,0.58803,3.33955,2.95347,2.20902,0.95681,0.71683,3.88266,3.51131,2024-11-21,9,8,3,56,1,0,56,2023-06-15,34,14,19,395,1,0,395,140.75,2,37,1,2,101828.63,1,3,"2800 PALO PKWY,BOULDER,CO,80301",40.0436,-105.26,,2025-09-01
65269,LIFE CARE CENTER OF PUEBLO,2118 CHATALET LN,PUEBLO,CO,81005,7195642000,500,Pueblo,For profit - Corporation,187,111.3,,Medicare and Medicaid,N,"SOUTH PUEBLO MEDICAL INVESTORS, LLC",1989-11-21,LIFE CARE CENTERS OF AMERICA,311,195,3.4,2.9,3.2,4.4,N,,Y,N,N,Resident,Yes,3,,2,,5,,4,,5,,4,,,,1.98063,0.43766,1.09057,1.52823,3.50886,3.09303,0.78777,0.03683,40.217,,40.625,,0,,1.43411,1.0381,2.39083,0.90124,0.70356,3.99562,3.53369,1.89748,0.41929,1.04479,3.36155,2.96318,2024-05-09,8,3,5,68,1,0,68,2020-01-30,12,12,0,108,1,0,108,78,0,5,0,1,9574.81,0,1,"2118 CHATALET LN,PUEBLO,CO,81005",38.2275,-104.67,,2025-09-01
65272,SIERRA POST ACUTE,1432 DEPEW ST,LAKEWOOD,CO,80214,3032381375,290,Jefferson,For profit - Limited Liability company,102,91.1,,Medicare and Medicaid,N,LAKEWOOD HEALTHCARE LLC,1990-03-01,PACS GROUP,690,207,2.8,2.5,2.3,4.2,N,,N,N,N,Resident,Yes,1,,1,,3,,3,,,2,3,,,,1.74027,0.7665,0.49113,1.25763,2.99789,2.65013,0.30023,0.19212,59.091,,50,,1,,1.07736,0.77986,1.79608,0.67704,0.52854,3.00166,2.65464,2.21928,0.97748,0.62631,3.82307,3.37958,2023-10-24,12,10,4,112,1,0,112,2022-09-15,18,13,5,168,1,0,168,126,2,11,0,3,23475.6,1,4,"1432 DEPEW ST,LAKEWOOD,CO,80214",39.7392,-105.06,,2025-09-01
65273,LAKESIDE POST ACUTE,6270 W 38TH AVE,WHEAT RIDGE,CO,80033,3034212272,290,Jefferson,For profit - Corporation,78,63.8,,Medicare and Medicaid,N,WHEAT RIDGE HEALTHCARE LLC,1990-01-26,PACS GROUP,690,207,2.8,2.5,2.3,4.2,N,,N,N,N,Resident,Yes,2,,2,,3,,4,,2,,4,,,,2.26646,0.80858,0.54296,1.35154,3.618,3.26712,0.38777,0.00448,54.386,,22.222,,1,,1.22863,0.88936,2.04827,0.77211,0.60275,3.42312,3.02738,2.53445,0.90419,0.60716,4.0458,3.65343,2024-07-02,11,9,3,88,1,0,88,2023-02-09,6,6,0,40,1,0,40,76,5,9,,2,13936,0,2,"6270 W 38TH AVE,WHEAT RIDGE,CO,80033",39.7694,-105.07,,2025-09-01
65274,WESTWOOD POST ACUTE,3185 W ARKANSAS AVE,DENVER,CO,80219,3039221169,150,Denver,For profit - Corporation,85,58.9,,Medicare and Medicaid,N,NORTH STAR HEALTHCARE LLC,1990-04-01,PACS GROUP,690,207,2.8,2.5,2.3,4.2,N,SFF Candidate,N,N,N,Resident,Yes,1,,1,,4,,4,,,2,3,,,,2.47663,0.9111,0.64632,1.55742,4.03405,3.16694,0.6442,0.09709,55.914,,46.154,,2,,1.34826,0.97595,2.2477,0.84728,0.66144,3.75642,3.32214,2.52374,0.92843,0.65862,4.11079,3.22718,2025-04-25,19,19,0,183,1,0,183,2023-09-28,22,5,18,271,1,0,271,205,0,27,,1,12333.75,1,2,"3185 W ARKANSAS AVE,DENVER,CO,80219",39.6913,-105.03,,2025-09-01
65276,LIFE CARE CENTER OF EVERGREEN,2987 BERGEN PEAK DR,EVERGREEN,CO,80439,3036744500,290,Jefferson,For profit - Corporation,120,57.1,,Medicare and Medicaid,N,"EVERGREEN OPERATIONS, LLC",1990-04-30,LIFE CARE CENTERS OF AMERICA,311,195,3.4,2.9,3.2,4.4,N,,N,N,N,Resident,Yes,5,,4,,5,,4,,5,,4,,,,1.85361,0.75191,1.06532,1.81722,3.67083,3.24654,0.69584,0.08239,33.333,,26.667,,0,,1.45383,1.05237,2.42369,0.91363,0.71323,4.05055,3.58227,1.75171,0.71057,1.00675,3.46904,3.06807,2025-05-15,4,4,0,28,1,0,28,2023-10-26,4,4,0,28,1,0,28,28,0,0,,0,0,0,0,"2987 BERGEN PEAK DR,EVERGREEN,CO,80439",39.6607,-105.35,,2025-09-01
65278,PELICAN POINTE HEALTH AND REHABILITATION CENTER,710 3RD ST,WINDSOR,CO,80550,9706867474,610,Weld,For profit - Corporation,104,84,,Medicare and Medicaid,N,PELICAN POINTE HEALTH AND REHABILITATION CENTER LLC,1990-06-01,RECOVER-CARE HEALTHCARE,438,39,2.2,2.2,1.8,3.3,N,,Y,N,N,Both,Yes,1,,1,,2,,2,,,2,2,,,,2.11159,0.38712,0.82983,1.21695,3.32854,2.99562,0.58241,0.04819,80.208,,76.19,,1,,1.245,0.90121,2.07555,0.78239,0.61078,3.46872,3.06771,2.33022,0.4272,0.91575,3.67317,3.30578,2023-12-11,18,17,2,192,1,0,192,2022-08-25,13,8,10,112,1,0,112,172,1,22,,4,66817.86,0,4,"710 3RD ST,WINDSOR,CO,80550",40.4728,-104.9,,2025-09-01
65282,LIFE CARE CENTER OF LONGMONT,2451 PRATT ST,LONGMONT,CO,80501,3037765000,60,Boulder,For profit - Corporation,187,117.6,,Medicare and Medicaid,N,"LONGMONT MEDICAL INVESTORS, LTD",1990-08-17,LIFE CARE CENTERS OF AMERICA,311,195,3.4,2.9,3.2,4.4,N,,N,N,N,Resident,Yes,4,,3,,5,,5,,4,,4,,,,2.33087,0.52634,1.08507,1.61141,3.94228,3.45805,0.79051,0.20608,47.917,,38.462,,0,,1.51767,1.09858,2.53012,0.95374,0.74455,4.22841,3.73957,2.11008,0.47648,0.98229,3.56885,3.13049,2024-01-23,9,6,3,72,1,0,72,2022-09-28,4,4,0,28,1,0,28,61,0,3,,1,9750,0,1,"2451 PRATT ST,LONGMONT,CO,80501",40.202,-105.11,,2025-09-01
65283,RIDGEVIEW POST ACUTE,5230 E 66TH WAY,COMMERCE CITY,CO,80022,3032891848,0,Adams,For profit - Corporation,112,100,,Medicare and Medicaid,N,"BARDWELL HEALTHCARE, INC.",1990-10-01,THE ENSIGN GROUP,507,303,3.2,2.9,2.6,4.1,N,,N,N,N,Resident,Yes,4,,4,,4,,5,,3,,3,,,,1.82039,0.40966,0.74539,1.15504,2.97543,2.50676,0.55144,0.07738,29.63,,15.789,,1,,1.2853,0.93038,2.14274,0.80772,0.63055,3.58101,3.16701,1.94588,0.4379,0.79677,3.18055,2.67957,2024-07-16,6,6,1,24,1,0,24,2023-02-17,3,2,2,95,1,0,95,41.75,0,2,,1,22256,0,1,"5230 E 66TH WAY,COMMERCE CITY,CO,80022",39.8157,-104.93,,2025-09-01
65284,GRACE MANOR CARE CENTER,465 5TH ST,BURLINGTON,CO,80807,7193467512,310,Kit Carson,For profit - Limited Liability company,31,27,,Medicare and Medicaid,N,MADISON SENIOR LIVING MANAGEMENT LLC,1990-12-01,,,,,,,,N,,N,N,N,Resident,Yes,5,,5,,4,,1,,5,,2,,,,1.67616,0.43182,0.80886,1.24068,2.91684,2.40486,0.62876,0.02838,45.833,,,27,0,,1.3678,0.9901,2.28027,0.85956,0.67102,3.81085,3.37029,1.68365,0.43375,0.81248,2.92987,2.41561,2024-04-11,2,2,0,12,1,0,12,2023-01-11,3,2,1,32,1,0,32,17,0,1,,2,4858.75,0,2,"465 5TH ST,BURLINGTON,CO,80807",39.3057,-102.26,,2025-09-01
65285,SILVER HEIGHTS SKILLED NURSING AND REHABILITATION,4001 HOME ST,CASTLE ROCK,CO,80108,3036883174,170,Douglas,For profit - Limited Liability company,91,57.7,,Medicare and Medicaid,N,"HOME STREET OPERATIONS, LLC",1990-12-01,MADISON CREEK PARTNERS,328,12,2.8,2.8,2.7,3.5,N,,Y,N,N,Resident,Yes,3,,2,,5,,5,,,2,3,,,,1.61504,0.62948,0.78761,1.41709,3.03213,2.75461,0.57434,0.08392,61.224,,58.333,,0,,1.15606,0.83683,1.92728,0.7265,0.56715,3.22092,2.84856,1.91937,0.74809,0.93603,3.6035,3.27368,2025-04-03,14,9,8,68,1,0,68,2023-10-19,15,8,7,96,1,0,96,75,2,26,0,2,6067.93,0,2,"4001 HOME ST,CASTLE ROCK,CO,80108",39.4208,-104.87,,2025-09-01
65286,EAGLE RIDGE POST ACUTE,2425 TELLER AVE,GRAND JUNCTION,CO,81501,9702433381,380,Mesa,For profit - Corporation,70,66.5,,Medicare and Medicaid,N,EAGLE RIDGE HEALTHCARE LLC,1990-12-10,PACS GROUP,690,207,2.8,2.5,2.3,4.2,N,,N,N,N,None,Yes,1,,1,,4,,4,,5,,2,,,,2.09648,0.94532,0.42232,1.36763,3.46411,3.08212,0.26008,0.01759,60,,28.571,,0,,1.47964,1.07106,2.46672,0.92984,0.72589,4.12245,3.64586,1.94667,0.87777,0.39214,3.21658,2.86188,2024-06-12,23,20,4,144,1,0,144,2020-02-13,11,5,6,108,1,0,108,135,0,15,0,1,30745.95,1,2,"2425 TELLER AVE,GRAND JUNCTION,CO,81501",39.0751,-108.54,,2025-09-01
65290,CRESTMOOR CARE CENTER,895 S MONACO PKWY,DENVER,CO,80224,3033213110,150,Denver,For profit - Limited Liability company,108,84.7,,Medicare and Medicaid,N,Legal Business Name Not Available,1991-04-30,RECOVER-CARE HEALTHCARE,438,39,2.2,2.2,1.8,3.3,N,,N,N,N,Both,Yes,2,,2,,4,,5,,3,,3,,,,1.53333,0.37893,0.76902,1.14795,2.68128,2.41862,0.66794,0.0604,14.583,,16.667,,0,,1.39634,1.01076,2.32786,0.8775,0.68503,3.89038,3.44062,1.50869,0.37284,0.75667,2.6382,2.37976,2025-02-06,11,11,3,88,1,0,88,2023-08-29,10,8,5,68,1,0,68,83,2,17,,0,0,0,0,"895 S MONACO PKWY,DENVER,CO,80224",39.7003,-104.91,,2025-09-01
65291,ROCK CREEK REHABILITATION AND HEALTHCARE CENTER,2277 EAST DR,MONTE VISTA,CO,81144,7198525138,520,Rio Grande,For profit - Corporation,60,35.1,,Medicare and Medicaid,N,"MONTE VISTA ESTATES, LLC",1991-06-05,DAKAVIA,178,3,2.3,2.7,2,3.3,N,,N,N,N,Family,Yes,1,,2,,4,,4,,,2,1,,,,1.53894,0.63679,0.74024,1.37703,2.91598,2.6713,0.5024,0.06637,,26,,26,,26,1.66237,1.20333,2.77136,1.04468,0.81554,4.63158,4.09613,1.27189,0.52629,0.61179,2.40997,2.20775,2024-02-08,10,10,0,68,1,0,68,2019-10-10,10,10,0,80,1,0,80,71,0,0,,1,27993.33,0,1,"2277 EAST DR,MONTE VISTA,CO,81144",37.5781,-106.12,,2025-09-01
65292,"REHABILITATION CENTER AT SANDALWOOD, THE",3835 HARLAN ST,WHEAT RIDGE,CO,80033,3034221533,290,Jefferson,For profit - Corporation,103,87.3,,Medicare and Medicaid,N,SWOPS INC,1990-09-01,,,,,,,,N,,N,N,N,Resident,Yes,1,,1,,4,,4,,4,,3,,,,2.00904,0.55892,0.80848,1.3674,3.37644,3.1026,0.5051,0.03151,54.839,,44.444,,0,,1.27793,0.92505,2.13045,0.80309,0.62693,3.56047,3.14885,2.15992,0.60089,0.8692,3.63002,3.33562,2024-04-26,9,9,0,210,1,0,210,2023-01-11,10,9,3,44,1,0,44,168.5,0,2,0,2,49400,0,2,"3835 HARLAN ST,WHEAT RIDGE,CO,80033",39.7702,-105.06,,2025-09-01
65294,"LAMAR ESTATES, LLC",205 S 10TH ST,LAMAR,CO,81052,7193363434,490,Prowers,For profit - Limited Liability company,60,20.7,,Medicare and Medicaid,N,"LAMAR ESTATES, LLC",1991-12-01,DAKAVIA,178,3,2.3,2.7,2,3.3,N,,N,N,N,Resident,Yes,5,,5,,2,,2,,,2,4,,,,2.31962,0.40818,1.192,1.60017,3.9198,3.46856,0.57346,0.02911,52.174,,60,,,26,1.16515,0.84341,1.94244,0.73221,0.57161,3.24626,2.87097,2.73522,0.48131,1.40556,4.62208,4.09,2023-09-27,2,2,0,12,1,0,12,2022-06-29,8,7,1,40,1,0,40,19,0,2,,0,0,0,0,"205 S 10TH ST,LAMAR,CO,81052",38.0878,-102.63,,2025-09-01
65296,CAMBRIDGE CARE CENTER,1685 EATON ST,LAKEWOOD,CO,80214,3032324405,290,Jefferson,For profit - Limited Liability company,110,92.7,,Medicare and Medicaid,N,QL CAMBRIDGE CARE CENTER LLC,1991-12-01,VIVAGE SENIOR LIVING,552,17,3.2,2.6,3.1,4.6,N,,N,N,N,Resident,Yes,4,,3,,5,,5,,,2,3,,,,1.46161,0.54867,0.71495,1.26362,2.72522,2.40585,0.58144,0.00187,43.077,,14.286,,0,,1.19687,0.86637,1.99531,0.75215,0.58717,3.33463,2.94911,1.6778,0.62982,0.82071,3.12833,2.76172,2024-04-02,7,5,4,44,1,0,44,2022-12-15,7,6,1,44,1,0,44,44,1,8,,1,8151.03,0,1,"1685 EATON ST,LAKEWOOD,CO,80214",39.7437,-105.06,,2025-09-01
65297,ALLISON CARE CENTER,1660 ALLISON ST,LAKEWOOD,CO,80214,3032327177,290,Jefferson,For profit - Limited Liability company,85,73.6,,Medicare and Medicaid,N,ALLISON CARE CENTER LLC,1991-12-01,VIVAGE SENIOR LIVING,552,17,3.2,2.6,3.1,4.6,N,,N,N,N,Both,Yes,3,,3,,4,,4,,,2,4,,,,1.93436,0.84828,0.5536,1.40188,3.33624,3.18081,0.44839,0.07876,32.203,,35.714,,0,,1.26913,0.91867,2.11577,0.79755,0.62262,3.53594,3.12716,2.09406,0.91831,0.59931,3.61168,3.44342,2025-03-13,6,6,1,60,1,0,60,2023-06-21,1,1,0,4,1,0,4,46,1,0,,1,2600,0,1,"1660 ALLISON ST,LAKEWOOD,CO,80214",39.7428,-105.09,,2025-09-01
65298,HARMONY POINTE CARE CENTER,1655 YARROW ST,LAKEWOOD,CO,80214,3032383838,290,Jefferson,For profit - Corporation,125,115.4,,Medicare and Medicaid,N,"QL-HARMONY POINTE NURSING CENTER, LLC",1991-12-01,VIVAGE SENIOR LIVING,552,17,3.2,2.6,3.1,4.6,N,,N,N,N,Both,Yes,3,,2,,5,,5,,,2,3,,,,1.78011,0.55707,0.7618,1.31887,3.09898,2.63997,0.60552,0.00047,35.714,,22.222,,0,,1.43759,1.04062,2.39662,0.90342,0.70526,4.00529,3.54225,1.70126,0.53239,0.72806,2.96171,2.52303,2024-09-26,17,17,0,92,1,0,92,2023-05-09,13,11,5,92,1,0,92,92,1,3,,1,1575.62,0,1,"1655 YARROW ST,LAKEWOOD,CO,80214",39.7426,-105.08,,2025-09-01
65299,PARKVIEW CARE CENTER,3105 W ARKANSAS AVE,DENVER,CO,80219,3039363497,150,Denver,For profit - Corporation,73,61.2,,Medicare and Medicaid,N,"ASPEN CARE COMMUNITY, LLC",1992-02-17,VIVAGE SENIOR LIVING,552,17,3.2,2.6,3.1,4.6,N,,N,N,N,Both,Yes,5,,4,,5,,5,,,2,4,,,,2.12334,0.6533,0.79145,1.44476,3.56809,3.08368,0.51787,0.00037,29.63,,58.333,,1,,1.26728,0.91734,2.11269,0.79639,0.62171,3.53079,3.12261,2.30199,0.70827,0.85805,3.86831,3.34313,2024-03-07,3,3,0,32,1,0,32,2022-11-17,10,10,0,44,1,0,44,35,0,0,,0,0,0,0,"3105 W ARKANSAS AVE,DENVER,CO,80219",39.6913,-105.03,,2025-09-01
65302,REGENT PARK NURSING AND REHABILITATION,816 S INTEROCEAN AVE,HOLYOKE,CO,80734,9708542251,470,Phillips,For profit - Limited Liability company,51,43.7,,Medicare and Medicaid,N,RED OAK REHABILITATION AND CARE COMMUNITY LLC,1992-09-14,VIVAGE SENIOR LIVING,552,17,3.2,2.6,3.1,4.6,N,,N,N,N,Both,Yes,5,,5,,4,,5,,4,,2,,,,1.34759,0.5544,0.43869,0.99309,2.34069,2.28743,0.57163,0.03973,36,,,27,0,,1.19573,0.86555,1.99341,0.75143,0.58661,3.33145,2.94631,1.5484,0.63701,0.50406,2.68947,2.62828,2024-11-07,2,2,1,12,1,0,12,2023-06-21,4,1,3,24,1,0,24,15,0,1,,1,8468.44,0,1,"816 S INTEROCEAN AVE,HOLYOKE,CO,80734",40.5783,-102.3,,2025-09-01
65303,BETH ISRAEL AT SHALOM PARK,14800 E BELLEVIEW DR,AURORA,CO,80015,3036805000,20,Arapahoe,Non profit - Corporation,135,141.5,,Medicare and Medicaid,N,SHALOM PARK,1992-09-08,,,,,,,,N,,N,N,N,Resident,Yes,5,,5,,5,,5,,,2,4,,,,2.86935,0.49445,0.78372,1.27817,4.14752,3.7919,0.59338,0.01488,13.768,,25.926,,,26,1.31929,0.95498,2.1994,0.82908,0.64722,3.67569,3.25075,2.98814,0.51492,0.81617,4.31923,3.94889,2023-10-26,0,0,0,0,0,0,0,2022-07-13,2,2,0,24,1,0,24,6,0,0,,0,0,0,0,"14800 E BELLEVIEW DR,AURORA,CO,80015",39.6234,-104.82,,2025-09-01
65305,LIBERTY HEIGHTS,12205 GUNSTOCK DR,COLORADO SPRINGS,CO,80921,7194819494,200,El Paso,For profit - Limited Liability company,42,38.7,,Medicare,N,"GA HC REIT II LIBERTY TRS SUB, LLC",1992-10-15,SENIOR LIFESTYLE,621,2,4,4,4.5,4,Y,,N,N,N,Both,Yes,5,,5,,4,,3,,4,,5,,,,2.19682,0.95892,1.1417,2.10062,4.29744,3.91364,0.72361,0.14168,27.66,,0,,1,,1.35558,0.98126,2.25991,0.85188,0.66503,3.77682,3.34019,2.22651,0.97188,1.15713,4.35553,3.96655,2023-09-13,2,2,0,8,1,0,8,2019-12-19,1,1,0,4,1,0,4,7,0,0,,0,0,0,0,"12205 GUNSTOCK DR,COLORADO SPRINGS,CO,80921",39.0075,-104.79,,2025-09-01
65306,"VALLEY REHABILITATION AND HEALTHCARE CENTER, THE",211 E 3RD AVE,MANCOS,CO,81328,9705339031,410,Montezuma,For profit - Corporation,110,55.3,,Medicare and Medicaid,N,THE VALLEY REHABILITATION AND HEALTHCARE CENTER LLC,1993-01-06,CENTENNIAL HEALTHCARE,750,7,3.4,3,2.1,3.9,N,,N,N,N,Resident,Yes,5,,4,,5,,4,,5,,2,,,,1.97204,0.18965,0.81499,1.00464,2.97668,2.72688,0.62294,0.11977,62.5,,50,,0,,1.6301,1.17997,2.71756,1.0244,0.79971,4.54167,4.01661,1.6621,0.15985,0.6869,2.50885,2.29831,2024-06-27,3,3,3,32,1,0,32,2020-02-27,3,3,0,32,1,0,32,32,0,0,0,0,0,0,0,"211 E 3RD AVE,MANCOS,CO,81328",37.3508,-108.29,,2025-09-01
65307,MANTEY HEIGHTS REHABILITATION & CARE CENTER,2825 PATTERSON RD,GRAND JUNCTION,CO,81506,9702427356,380,Mesa,For profit - Limited Liability company,88,69.3,,Medicare and Medicaid,N,SNH CO TENANT LLC,1993-02-22,STELLAR SENIOR LIVING,491,9,1.8,1.8,2.6,3.8,N,,Y,N,N,Resident,Yes,1,,1,,3,,3,,3,,2,,,,1.93865,0.48519,0.74721,1.23239,3.17105,2.75567,0.44704,0.07701,63.158,,62.5,,,26,1.20222,0.87025,2.00424,0.75551,0.58979,3.34955,2.96231,2.2155,0.55447,0.85391,3.62388,3.14918,2024-12-19,13,9,4,112,1,0,112,2023-07-13,24,21,3,208,1,0,208,136,0,16,,4,159825.65,1,5,"2825 PATTERSON RD,GRAND JUNCTION,CO,81506",39.0918,-108.53,,2025-09-01
65308,WHEATRIDGE CARE CENTER,2920 FENTON ST,WHEAT RIDGE,CO,80214,3032380481,290,Jefferson,For profit - Corporation,65,58.5,,Medicare and Medicaid,N,"33 SOUTHMOOR PROPERTIES, INC.",1993-04-01,VIVAGE SENIOR LIVING,552,17,3.2,2.6,3.1,4.6,N,,N,N,N,Resident,Yes,3,,3,,4,,4,,,2,2,,,,1.88048,0.6709,0.63181,1.30272,3.1832,2.78565,0.57969,0.02465,50,,37.5,,0,,1.33959,0.96968,2.23324,0.84183,0.65718,3.73226,3.30078,1.92866,0.68809,0.648,3.26474,2.85701,2023-10-19,6,6,0,52,1,0,52,2022-07-12,8,5,3,56,1,0,56,53,1,4,,2,24507.6,0,2,"2920 FENTON ST,WHEAT RIDGE,CO,80214",39.7592,-105.06,,2025-09-01
65309,WASHINGTON COUNTY NURSING HOME,599 W GREENHOUSE DR,AKRON,CO,80720,9703452211,600,Washington,Government - County,40,39,,Medicare and Medicaid,N,WASHINGTON COUNTY NURSING HOME,1993-04-01,,,,,,,,N,,N,N,N,Resident,Yes,5,,4,,5,,5,,,2,5,,,,3.03657,1.00367,0.46567,1.46934,4.50592,4.11,0.46619,0.00654,24.39,,20,,0,,1.0396,0.75253,1.73313,0.65331,0.51001,2.89645,2.5616,4.01305,1.32642,0.61542,5.9549,5.43167,2024-09-25,4,4,0,20,1,0,20,2023-05-17,2,2,0,24,1,0,24,21,0,0,,2,36835.5,0,2,"599 W GREENHOUSE DR,AKRON,CO,80720",39.7105,-103.33,,2025-09-01
